date,maxtp,mintp,rain,cbl,wdsp,hg,sun,g_rad,pe,evap
2022/1/1,14.8,9.7,0,994,14.8,40,5.3,288,0.9,0.9
2022/1/2,10.8,8.1,0.1,992.4,11.7,32,3.1,245,0.8,0.9
2022/1/3,9.8,2.1,1.8,990.9,12.3,30,4,256,0.7,0.8
2022/1/4,3.8,-0.3,0,997.5,12,23,5.7,307,0.4,0.4
2022/1/5,5.3,-0.8,0,1006.1,8.4,19,4.6,321,0.4,0.5
2022/1/6,9,-0.1,3.5,1000,11.2,31,1.3,139,0.6,0.8
2022/1/7,6.8,0.3,2.7,997.4,9.2,24,1.4,150,0.3,0.5
2022/1/8,9.5,2.1,2.3,990.1,12.6,30,2.4,226,0.3,0.3
2022/1/9,7.4,1.6,0.2,992.1,9.1,24,1.9,242,0.3,0.4
2022/1/10,12.1,6.2,0.7,1004.3,6.5,20,0.1,204,0.3,0.4
2022/1/11,8.3,4.3,0,1019.5,5.5,14,5.3,316,0.2,0.3
2022/1/12,10.1,4,0,1028.9,5.5,15,7.1,396,0.2,0.3
2022/1/13,6.2,2,0,1029.7,4.7,18,2,231,0.3,0.4
2022/1/14,7.4,-1.2,0,1023.5,3,10,2.5,257,0.1,0.3
2022/1/15,7.9,-2,0.2,1013.9,3.8,11,0,108,0.3,0.4
2022/1/16,7.4,0.1,0,1018.4,8,18,4.3,346,0.2,0.2
2022/1/17,7.6,-3.1,0,1027.3,4,10,7.4,426,0.1,0.2
2022/1/18,9.4,-4,0,1021.4,6.2,21,1,237,0.2,0.3
2022/1/19,,2.6,0.4,1020.3,11.1,34,4.9,392,0.2,0.3
2022/1/20,6.3,0.6,0,1028.8,6.7,15,0.9,260,0.3,0.4
2022/1/21,6.4,4.3,0,1030,6.6,17,0,157,0.6,0.8
2022/1/22,7.4,4.6,0,1027.1,5.2,15,0.5,190,0.4,0.5
2022/1/23,7.2,5.1,0,1022.8,6.2,19,0.1,171,0.7,0.9
2022/1/24,8.7,0.3,0,1021.2,5.1,14,5.3,411,0.3,0.4
2022/1/25,7.5,3.2,0,1022.8,4,12,0,123,0.5,0.7
2022/1/26,10.1,4.7,0.2,1018.4,9,27,5.1,454,0.3,0.4
